Time Ch1 Ch2	
-1.244E-4	0.23000	0.00000
-1.240E-4	0.23000	-0.02000
-1.236E-4	0.23000	-0.02800
-1.232E-4	0.24000	-0.02400
-1.228E-4	0.22000	-0.02800
-1.224E-4	0.24000	-0.05200
-1.220E-4	0.23000	-0.03200
-1.216E-4	0.24000	-0.02800
-1.212E-4	0.23000	-0.02400
-1.208E-4	0.25000	-0.05200
-1.204E-4	0.21000	-0.04400
-1.200E-4	0.26000	-0.03200
-1.196E-4	0.23000	-0.05200
-1.192E-4	0.23000	-0.04000
-1.188E-4	0.21000	-0.01600
-1.184E-4	0.24000	-0.02800
-1.180E-4	0.21000	-0.02000
-1.176E-4	0.24000	-0.01200
-1.172E-4	0.25000	-0.01600
-1.168E-4	0.21000	-0.00800
-1.164E-4	0.24000	-0.02800
-1.160E-4	0.26000	-0.04400
-1.156E-4	0.23000	-0.04400
-1.152E-4	0.23000	-0.01600
-1.148E-4	0.22000	-0.04400
-1.144E-4	0.22000	-0.02800
-1.140E-4	0.22000	-0.02800
-1.136E-4	0.22000	-0.02400
-1.132E-4	0.24000	-0.03600
-1.128E-4	0.26000	-0.02400
-1.124E-4	0.23000	-0.01600
-1.120E-4	0.22000	-0.03600
-1.116E-4	0.24000	-0.02000
-1.112E-4	0.21000	-0.01200
-1.108E-4	0.24000	-0.00800
-1.104E-4	0.23000	-0.03600
-1.100E-4	0.25000	-0.03200
-1.096E-4	0.23000	-0.03600
-1.092E-4	0.21000	-0.01600
-1.088E-4	0.24000	-0.02800
-1.084E-4	0.23000	-0.00800
-1.080E-4	0.24000	-0.01200
-1.076E-4	0.23000	0.00400
-1.072E-4	0.23000	-0.00400
-1.068E-4	0.23000	-0.00800
-1.064E-4	0.23000	-0.02400
-1.060E-4	0.22000	-0.00800
-1.056E-4	0.22000	-0.00800
-1.052E-4	0.24000	-0.00800
-1.048E-4	0.23000	-0.03200
-1.044E-4	0.23000	-0.04400
-1.040E-4	0.25000	-0.03600
-1.036E-4	0.23000	-0.04400
-1.032E-4	0.21000	-0.03200
-1.028E-4	0.25000	-0.02400
-1.024E-4	0.21000	-0.03200
-1.020E-4	0.24000	-0.02400
-1.016E-4	0.21000	-0.05200
-1.012E-4	0.24000	-0.04400
-1.008E-4	0.23000	-0.03600
-1.004E-4	0.26000	-0.04400
-1.000E-4	0.23000	-0.05200
-9.960E-5	0.23000	-0.03200
-9.920E-5	0.21000	-0.03600
-9.880E-5	0.24000	-0.04400
-9.840E-5	0.21000	-0.03200
-9.800E-5	0.24000	-0.02000
-9.760E-5	0.21000	-0.02000
-9.720E-5	0.24000	-0.01200
-9.680E-5	0.23000	0.00800
-9.640E-5	0.21000	-0.00400
-9.600E-5	0.21000	-0.01200
-9.560E-5	0.22000	-0.01200
-9.520E-5	0.22000	-0.01600
-9.480E-5	0.24000	-0.02000
-9.440E-5	0.21000	-0.01200
-9.400E-5	0.24000	-0.00800
-9.360E-5	0.23000	-0.02000
-9.320E-5	0.22000	-0.02400
-9.280E-5	0.24000	-0.02400
-9.240E-5	0.23000	-0.02000
-9.200E-5	0.21000	-0.00800
-9.160E-5	0.22000	-0.00800
-9.120E-5	0.21000	-0.00800
-9.080E-5	0.24000	-0.02000
-9.040E-5	0.23000	-0.01600
-9.000E-5	0.21000	-0.00800
-8.960E-5	0.24000	-0.02000
-8.920E-5	0.23000	-0.03200
-8.880E-5	0.23000	-0.04400
-8.840E-5	0.22000	-0.04000
-8.800E-5	0.24000	-0.03600
-8.760E-5	0.23000	-0.01600
-8.720E-5	0.21000	-0.02800
-8.680E-5	0.24000	-0.00400
-8.640E-5	0.23000	-0.01200
-8.600E-5	0.21000	-0.03200
-8.560E-5	0.22000	-0.00800
-8.520E-5	0.23000	0.00000
-8.480E-5	0.24000	0.00000
-8.440E-5	0.21000	-0.02800
-8.400E-5	0.22000	-0.03600
-8.360E-5	0.24000	-0.03200
-8.320E-5	0.23000	-0.02000
-8.280E-5	0.21000	-0.02000
-8.240E-5	0.22000	-0.02000
-8.200E-5	0.22000	-0.03600
-8.160E-5	0.24000	-0.03200
-8.120E-5	0.24000	-0.01600
-8.080E-5	0.22000	-0.01600
-8.040E-5	0.24000	-0.00800
-8.000E-5	0.21000	-0.02400
-7.960E-5	0.23000	-0.03600
-7.920E-5	0.22000	-0.02400
-7.880E-5	0.21000	-0.02000
-7.840E-5	0.24000	-0.04000
-7.800E-5	0.23000	-0.03200
-7.760E-5	0.23000	-0.03600
-7.720E-5	0.21000	-0.04800
-7.680E-5	0.24000	-0.03200
-7.640E-5	0.24000	-0.02000
-7.600E-5	0.23000	-0.00400
-7.560E-5	0.21000	-0.01200
-7.520E-5	0.24000	0.00800
-7.480E-5	0.23000	0.00000
-7.440E-5	0.24000	-0.02800
-7.400E-5	0.24000	-0.03200
-7.360E-5	0.24000	-0.02400
-7.320E-5	0.21000	-0.05200
-7.280E-5	0.24000	-0.02400
-7.240E-5	0.23000	-0.02000
-7.200E-5	0.24000	-0.01600
-7.160E-5	0.23000	-0.02400
-7.120E-5	0.23000	-0.02800
-7.080E-5	0.23000	-0.03200
-7.040E-5	0.23000	-0.03600
-7.000E-5	0.21000	-0.03600
-6.960E-5	0.24000	-0.01600
-6.920E-5	0.25000	-0.01200
